team,maps played,wins,losses,total kills,total deaths,rounds played,k/d ratio
Vitality,82,55,27,6420,5828,1842,1.1
Natus Vincere,92,63,29,6881,6268,1989,1.1
Spirit,79,52,27,5707,5212,1659,1.09
MOUZ,83,50,33,6266,5851,1817,1.07
The MongolZ,86,53,33,6551,6111,1902,1.07
G2,111,71,40,8098,7656,2399,1.06
MIBR,117,66,51,8146,7866,2452,1.04
PARIVISION,85,45,40,6284,6063,1839,1.04
9 Pandas,92,45,47,6726,6632,2024,1.01
Monte,132,65,67,10238,9824,2975,1.04
Eternal Fire,98,57,41,7334,7034,2196,1.04
B8,165,87,78,12730,12532,3734,1.02
FaZe,106,61,45,7924,7699,2355,1.03
Nemiga,104,62,42,7501,7422,2224,1.01
Aurora,131,71,60,9572,9471,2816,1.01
Astralis,77,42,35,5535,5350,1653,1.03
Passion UA,70,32,38,5191,5164,1555,1.01
fnatic,104,52,52,7590,7432,2293,1.02
3DMAX,159,89,70,11558,11438,3446,1.01
Liquid,98,56,42,7350,7046,2193,1.04
Imperial,96,48,48,6823,6708,2062,1.02
HEROIC,96,49,47,6836,6812,2077,1.0
Sangal,116,65,51,8678,8675,2572,1.0
Complexity,76,39,37,5556,5603,1689,0.99
AMKAL,96,53,43,7334,7410,2220,0.99
9z,78,31,47,5747,5753,1739,1.0
paiN,131,77,54,9317,9264,2850,1.01
BLEED,142,64,78,10406,10676,3186,0.97
SAW,97,48,49,6799,6981,2081,0.97
BetBoom,109,58,51,7718,7871,2323,0.98
Virtus.pro,95,45,50,6660,6754,2095,0.99
MOUZ NXT,81,31,50,5637,5876,1726,0.96
ENCE,57,18,39,3807,4144,1203,0.92
Falcons,100,45,55,7101,7223,2176,0.98
BIG,80,34,46,5712,5957,1759,0.96
FURIA,92,48,44,6363,6457,1987,0.99
OG,69,31,38,4941,5261,1517,0.94
Sashi,121,64,57,8718,9071,2664,0.96
SINNERS,113,53,60,8098,8415,2454,0.96
Fluxo,60,26,34,4138,4254,1274,0.97
Rebels,58,27,31,4182,4417,1276,0.95
Ninjas in Pyjamas,89,37,52,6355,6718,1964,0.95
RED Canids,87,37,50,6019,6451,1914,0.93
GamerLegion,90,44,46,6723,7029,2069,0.96
Zero Tenacity,133,59,74,9649,10251,2990,0.94
